1;PC1102;Yolcu1;1001.0
2;AJ3305;Yolcu2;1002.0
3;TK2020;Yolcu3;1003.0
4;TK2410;Yolcu4;1004.0
5;PC1102;Yolcu5;1005.0
6;AJ3305;Yolcu6;1006.0
7;TK2020;Yolcu7;1007.0
8;TK2410;Yolcu8;1008.0
9;PC1102;Yolcu9;1009.0
10;AJ3305;Yolcu10;1010.0
11;TK2020;Yolcu11;1011.0
12;TK2410;Yolcu12;1012.0
13;PC1102;Yolcu13;1013.0
14;AJ3305;Yolcu14;1014.0
15;TK2020;Yolcu15;1015.0
16;TK2410;Yolcu16;1016.0
17;PC1102;Yolcu17;1017.0
18;AJ3305;Yolcu18;1018.0
19;TK2020;Yolcu19;1019.0
20;TK2410;Yolcu20;1020.0
21;PC1102;Yolcu21;1021.0
22;AJ3305;Yolcu22;1022.0
23;TK2020;Yolcu23;1023.0
24;TK2410;Yolcu24;1024.0
25;PC1102;Yolcu25;1025.0
26;AJ3305;Yolcu26;1026.0
27;TK2020;Yolcu27;1027.0
28;TK2410;Yolcu28;1028.0
29;PC1102;Yolcu29;1029.0
30;AJ3305;Yolcu30;1030.0
31;TK2020;Yolcu31;1031.0
32;TK2410;Yolcu32;1032.0
33;PC1102;Yolcu33;1033.0
34;AJ3305;Yolcu34;1034.0
35;TK2020;Yolcu35;1035.0
36;TK2410;Yolcu36;1036.0
37;PC1102;Yolcu37;1037.0
38;AJ3305;Yolcu38;1038.0
39;TK2020;Yolcu39;1039.0
40;TK2410;Yolcu40;1040.0
41;PC1102;Yolcu41;1041.0
42;AJ3305;Yolcu42;1042.0
43;TK2020;Yolcu43;1043.0
44;TK2410;Yolcu44;1044.0
45;PC1102;Yolcu45;1045.0
46;AJ3305;Yolcu46;1046.0
47;TK2020;Yolcu47;1047.0
48;TK2410;Yolcu48;1048.0
49;PC1102;Yolcu49;1049.0
50;AJ3305;Yolcu50;1050.0
51;TK2020;Yolcu51;1051.0
52;TK2410;Yolcu52;1052.0
53;PC1102;Yolcu53;1053.0
54;AJ3305;Yolcu54;1054.0
55;TK2020;Yolcu55;1055.0
56;TK2410;Yolcu56;1056.0
57;PC1102;Yolcu57;1057.0
58;AJ3305;Yolcu58;1058.0
59;TK2020;Yolcu59;1059.0
60;TK2410;Yolcu60;1060.0
61;PC1102;Yolcu61;1061.0
62;AJ3305;Yolcu62;1062.0
63;TK2020;Yolcu63;1063.0
64;TK2410;Yolcu64;1064.0
65;PC1102;Yolcu65;1065.0
66;AJ3305;Yolcu66;1066.0
67;TK2020;Yolcu67;1067.0
68;TK2410;Yolcu68;1068.0
69;PC1102;Yolcu69;1069.0
70;AJ3305;Yolcu70;1070.0
71;TK2020;Yolcu71;1071.0
72;TK2410;Yolcu72;1072.0
73;PC1102;Yolcu73;1073.0
74;AJ3305;Yolcu74;1074.0
75;TK2020;Yolcu75;1075.0
76;TK2410;Yolcu76;1076.0
77;PC1102;Yolcu77;1077.0
78;AJ3305;Yolcu78;1078.0
79;TK2020;Yolcu79;1079.0
80;TK2410;Yolcu80;1080.0
81;PC1102;Yolcu81;1081.0
82;AJ3305;Yolcu82;1082.0
83;TK2020;Yolcu83;1083.0
84;TK2410;Yolcu84;1084.0
85;PC1102;Yolcu85;1085.0
86;AJ3305;Yolcu86;1086.0
87;TK2020;Yolcu87;1087.0
88;TK2410;Yolcu88;1088.0
89;PC1102;Yolcu89;1089.0
90;AJ3305;Yolcu90;1090.0
